axle,joint,load_lbf,configured_bore_in,governing_corner,governing_case,note,single_shear_min,single_margin,double_shear_min,double_margin,single_existing_bore_margin,double_existing_bore_margin,dash_length
rear,Lower Aft to chassis,1523.3858756563654,0.3125,rear_right,case_4_brake_corner,Configured inboard rod-end bore.,AN4,0.5037192347970063,AN3,0.6916841391466324,1.3495613043703223,3.6991226087406446,TBD - measure stack
rear,Lower Fore to chassis,1291.7353366231614,0.25,rear_right,case_1_linear_accel,Configured inboard rod-end bore.,AN4,0.7733854438255081,AN3,0.995058624303697,0.7733854438255081,2.5467708876510162,TBD - measure stack
rear,Lower arm to upright (shared),1066.9802776679853,,rear_left,case_3_accel_corner_mirrored,Vector sum of both legs in each case; assumes one shared bolt. Bore and physical joint topology unconfirmed.,AN3,0.20765480749110687,AN3,1.4153096149822137,,,TBD - measure stack
rear,Pushrod / pullrod to bellcrank,1123.5693258893687,0.1875,rear_right,case_3_accel_corner,Full rod axial force; confirm bearing bore and tab stack.,AN3,0.1468307581323327,AN3,1.2936615162646654,0.1468307581323327,1.2936615162646654,TBD - measure stack
rear,Shock to bellcrank,595.693539654222,,rear_left,case_3_accel_corner_mirrored,Shock-eye bore and mounting stack required.,AN3,1.1630986002834454,AN3,3.3261972005668907,,,TBD - measure stack
rear,Shock to chassis,595.693539654222,,rear_left,case_3_accel_corner_mirrored,Shock-eye bore and mounting stack required.,AN3,1.1630986002834454,AN3,3.3261972005668907,,,TBD - measure stack
rear,Tie rod to chassis,134.16937476890809,0.1875,rear_right,case_1_linear_accel,Configured inboard rod-end bore.,AN3,8.60385977830867,AN3,18.20771955661734,8.60385977830867,18.20771955661734,TBD - measure stack
rear,Tie rod to upright,134.16937476890809,0.1875,rear_right,case_1_linear_accel,Configured outboard rod-end bore.,AN3,8.60385977830867,AN3,18.20771955661734,8.60385977830867,18.20771955661734,TBD - measure stack
rear,Upper Aft to chassis,1553.0808546649807,0.1875,rear_right,case_4_brake_corner,Configured inboard rod-end bore.,AN4,0.474968052282571,AN3,0.6593390588178925,-0.17033047059105377,0.6593390588178925,TBD - measure stack
rear,Upper Fore to chassis,410.25871527172603,0.1875,rear_left,case_2_braking,Configured inboard rod-end bore.,AN3,2.1408080166450563,AN3,5.2816160332901125,2.1408080166450563,5.2816160332901125,TBD - measure stack
rear,Upper arm to upright (shared),1262.4305621985438,,rear_right,case_4_brake_corner,Vector sum of both legs in each case; assumes one shared bolt. Bore and physical joint topology unconfirmed.,AN3,0.020684939360084975,AN3,1.04136987872017,,,TBD - measure stack
